id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,51 Eridani b,97,2 Jupiters,5.21149,2015
51,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
52,55 Cancri b,41,0.8306 Jupiters,5.96,1996
53,55 Cancri c,41,0.1714 Jupiters,5.96,2004
54,55 Cancri d,41,3.878 Jupiters,5.96,2002
55,55 Cancri e,41,7.99 Earths,5.96,2004
56,55 Cancri f,41,0.141 Jupiters,5.96,2007
57,61 Virginis b,28,5.1 Earths,4.735,2009
58,61 Virginis c,28,18.2 Earths,4.735,2009
59,61 Virginis d,28,22.9 Earths,4.735,2009
60,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
61,70 Virginis b,58,7.49 Jupiters,4.96808,1996
62,75 Ceti b,271,3 Jupiters,5.3532,2012
63,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
64,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
65,81 Ceti b,330,5.3 Jupiters,5.64307,2008
66,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
67,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
68,AB Aurigae b,529,9 Jupiters,7.076,2022
69,AB Pictoris b,163,13.5 Jupiters,9.13,2005
70,AF Leporis b,88,5.237 Jupiters,6.332,2023
71,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
72,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
73,AU Microscopii b,32,20.12 Earths,8.81,2020
74,AU Microscopii c,32,9.6 Earths,8.81,2021
75,51 Eridani b,97,2 Jupiters,5.21149,2015
76,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
77,55 Cancri b,41,0.8306 Jupiters,5.96,1996
78,55 Cancri c,41,0.1714 Jupiters,5.96,2004
79,55 Cancri d,41,3.878 Jupiters,5.96,2002
80,55 Cancri e,41,7.99 Earths,5.96,2004
81,55 Cancri f,41,0.141 Jupiters,5.96,2007
82,61 Virginis b,28,5.1 Earths,4.735,2009
83,61 Virginis c,28,18.2 Earths,4.735,2009
84,61 Virginis d,28,22.9 Earths,4.735,2009
85,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
86,70 Virginis b,58,7.49 Jupiters,4.96808,1996
87,75 Ceti b,271,3 Jupiters,5.3532,2012
88,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
89,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
90,81 Ceti b,330,5.3 Jupiters,5.64307,2008
91,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
92,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
93,AB Aurigae b,529,9 Jupiters,7.076,2022
94,AB Pictoris b,163,13.5 Jupiters,9.13,2005
95,AF Leporis b,88,5.237 Jupiters,6.332,2023
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,51 Eridani b,97,2 Jupiters,5.21149,2015
101,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
102,55 Cancri b,41,0.8306 Jupiters,5.96,1996
103,55 Cancri c,41,0.1714 Jupiters,5.96,2004
104,55 Cancri d,41,3.878 Jupiters,5.96,2002
105,55 Cancri e,41,7.99 Earths,5.96,2004
106,55 Cancri f,41,0.141 Jupiters,5.96,2007
107,61 Virginis b,28,5.1 Earths,4.735,2009
108,61 Virginis c,28,18.2 Earths,4.735,2009
109,61 Virginis d,28,22.9 Earths,4.735,2009
110,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
111,70 Virginis b,58,7.49 Jupiters,4.96808,1996
112,75 Ceti b,271,3 Jupiters,5.3532,2012
113,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
114,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
115,81 Ceti b,330,5.3 Jupiters,5.64307,2008
116,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
117,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
118,AB Aurigae b,529,9 Jupiters,7.076,2022
119,AB Pictoris b,163,13.5 Jupiters,9.13,2005
120,AF Leporis b,88,5.237 Jupiters,6.332,2023
121,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
122,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
123,AU Microscopii b,32,20.12 Earths,8.81,2020
124,AU Microscopii c,32,9.6 Earths,8.81,2021
125,51 Eridani b,97,2 Jupiters,5.21149,2015
126,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
127,55 Cancri b,41,0.8306 Jupiters,5.96,1996
128,55 Cancri c,41,0.1714 Jupiters,5.96,2004
129,55 Cancri d,41,3.878 Jupiters,5.96,2002
130,55 Cancri e,41,7.99 Earths,5.96,2004
131,55 Cancri f,41,0.141 Jupiters,5.96,2007
132,61 Virginis b,28,5.1 Earths,4.735,2009
133,61 Virginis c,28,18.2 Earths,4.735,2009
134,61 Virginis d,28,22.9 Earths,4.735,2009
135,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
136,70 Virginis b,58,7.49 Jupiters,4.96808,1996
137,75 Ceti b,271,3 Jupiters,5.3532,2012
138,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
139,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
140,81 Ceti b,330,5.3 Jupiters,5.64307,2008
141,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
142,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
143,AB Aurigae b,529,9 Jupiters,7.076,2022
144,AB Pictoris b,163,13.5 Jupiters,9.13,2005
145,AF Leporis b,88,5.237 Jupiters,6.332,2023
146,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
147,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
148,AU Microscopii b,32,20.12 Earths,8.81,2020
149,AU Microscopii c,32,9.6 Earths,8.81,2021
150,51 Eridani b,97,2 Jupiters,5.21149,2015
151,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
152,55 Cancri b,41,0.8306 Jupiters,5.96,1996
153,55 Cancri c,41,0.1714 Jupiters,5.96,2004
154,55 Cancri d,41,3.878 Jupiters,5.96,2002
155,55 Cancri e,41,7.99 Earths,5.96,2004
156,55 Cancri f,41,0.141 Jupiters,5.96,2007
157,61 Virginis b,28,5.1 Earths,4.735,2009
158,61 Virginis c,28,18.2 Earths,4.735,2009
159,61 Virginis d,28,22.9 Earths,4.735,2009
160,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
161,70 Virginis b,58,7.49 Jupiters,4.96808,1996
162,75 Ceti b,271,3 Jupiters,5.3532,2012
163,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
164,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
165,81 Ceti b,330,5.3 Jupiters,5.64307,2008
166,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
167,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
168,AB Aurigae b,529,9 Jupiters,7.076,2022
169,AB Pictoris b,163,13.5 Jupiters,9.13,2005
170,AF Leporis b,88,5.237 Jupiters,6.332,2023
171,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
172,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
173,AU Microscopii b,32,20.12 Earths,8.81,2020
174,AU Microscopii c,32,9.6 Earths,8.81,2021
175,b Centauri AB b,320,10.9 Jupiters,4.01,2021
176,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
177,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
178,BD-06 1339 b,66,8.5 Earths,9.7,2013
179,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
180,BD-08 2823 b,135,12.7132 Earths,9.86,2009
181,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
182,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
183,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
184,BD-11 4672 c,89,15.37 Earths,10.03,2020
185,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
186,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
187,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
188,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
189,BD-17 63 b,112,5.1 Jupiters,9.62,2008
190,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
191,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
192,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
193,BD+20 594 b,585,22.2481 Earths,10.849,2016
194,BD+45 564 b,175,1.36 Jupiters,9.67,2021
195,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
196,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
197,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
198,BD+55 362 b,171,0.72 Jupiters,9.38,2021
199,BD+60 1417 b,147,15 Jupiters,9.374,2021
200,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
201,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
202,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
203,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
204,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
205,CD Ceti b,28,3.95 Earths,13.95,2020
206,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
207,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
208,CHXR 73 b,621,12.569 Jupiters,,2006
209,CI Tauri b,515,11.6 Jupiters,13.642,2019
210,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
211,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
212,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
213,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
214,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
215,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
216,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
217,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
218,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
219,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
220,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
221,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
222,CoRoT-20 c,2753,17 Jupiters,14.63,2018
223,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
224,CoRoT-22 b,2046,12.2 Earths,13.82,2014
225,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
226,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
227,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
228,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
229,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
230,CD Ceti b,28,3.95 Earths,13.95,2020
231,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
232,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
233,CHXR 73 b,621,12.569 Jupiters,,2006
234,CI Tauri b,515,11.6 Jupiters,13.642,2019
235,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
236,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
237,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
238,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
239,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
240,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
241,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
242,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
243,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
244,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
245,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
246,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
247,CoRoT-20 c,2753,17 Jupiters,14.63,2018
248,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
249,CoRoT-22 b,2046,12.2 Earths,13.82,2014
